key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_FESANV2023MINIGAME_00830_NONORA_000_009","冒險者你好，<hex:02100103>請看，這就是為新生祭準備的遊樂項目。"
1,"TEXT_FESANV2023MINIGAME_00830_NONORA_000_010","不過，非常可惜的是，遊樂項目還在準備中……<hex:02100103>請你稍作等待，之後再來看看吧。"
2,"TEXT_FESANV2023MINIGAME_00830_NONORA_000_011","哎呀，你莫非是那位……<hex:02100103>是以前在新生祭的時候幫我們解決過擬態蟲的冒險者吧？<hex:02100103>你好啊，好久不見。"
3,"TEXT_FESANV2023MINIGAME_00830_NONORA_000_012","我現在負責引導大家參加新生祭的遊樂項目。<hex:02100103>不過，遊樂項目還在準備中……<hex:02100103>請你稍作等待，之後再來看看吧。"
4,"TEXT_FESANV2023MINIGAME_00830_NONORA_000_000","你好啊！冒險者！<hex:02100103>你對為這次的新生祭準備的<hex:02100103>「咕波咕波大冒險」感興趣嗎？"
5,"TEXT_FESANV2023MINIGAME_00830_Q1_000_000","如何作答？"
6,"TEXT_FESANV2023MINIGAME_00830_A1_000_001","我要玩！"
7,"TEXT_FESANV2023MINIGAME_00830_A1_000_002","什麼是「咕波咕波大冒險」？"
8,"TEXT_FESANV2023MINIGAME_00830_A1_000_003","你是做什麼的？"
9,"TEXT_FESANV2023MINIGAME_00830_A1_000_004","取消"
10,"TEXT_FESANV2023MINIGAME_00830_NONORA_000_002","好的！我明白啦！<hex:02100103>請好好享受遊戲的樂趣吧！"
11,"TEXT_FESANV2023MINIGAME_00830_NONORA_000_003","問得好！<hex:02100103>咕波咕波大冒險就是由冒險者來指揮小莫古利，<hex:02100103>透過彈力球反彈來消滅魔物的幻影遊戲。"
12,"TEXT_FESANV2023MINIGAME_00830_NONORA_000_004","似乎是某地的某位技術人員製作的遊戲……<hex:02100103>不知道為何異國的詩人指名讓我負責，<hex:02100103>引導大家來參與這個遊戲。"
13,"TEXT_FESANV2023MINIGAME_00830_NONORA_000_005","如果你聽了我的話之後對遊戲感興趣的話，<hex:02100103>還請一定要試著玩玩看哦！"
14,"TEXT_FESANV2023MINIGAME_00830_NONORA_000_006","你問……我是誰？<hex:02100103>我只是被拜託來這裡為大家介紹的普通市民，<hex:02100103>我在以前的新生祭上，曾因為各種原因和異國的詩人結緣……"
15,"TEXT_FESANV2023MINIGAME_00830_NONORA_000_007","所以這一次的新生祭，我才會過來幫忙。<hex:02100103>……當然啦，幫忙工作也是有酬勞的。"
16,"TEXT_FESANV2023MINIGAME_00830_NONORA_000_008","哼哼，說起來你也是，<hex:02100103>那次還幫忙處理了擬態蟲吧，<hex:02100103>那一回可真是多虧了你，太謝謝你啦。"
