key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_KINGLA404_04992_SEQ_00","珠串萬貨街的休涅今天的生意也很順利。"
1,"TEXT_KINGLA404_04992_SEQ_01","接受了休涅的籌備瓦泡塔所需商品的委託。採集6個<hex:02280DFF07>ItemMP<hex:F2AB7D0103>，然後交給珠串萬貨街的休涅。當職業為採掘師時，可以在夏勞尼荒野的灰達尤南台地附近採集到<hex:02280DFF07>ItemMP<hex:F2AB7D0103>；當職業為園藝師時，可以在夏勞尼荒野的胡薩塔伊驛鎮附近採集到<hex:02280DFF07>ItemMP<hex:F2AB7D0103>。<hex:02100103><hex:02100103>※收藏價值達到240時才可交納，若交納時收藏價值達到600的話，可以獲得更多報酬。"
2,"TEXT_KINGLA404_04992_SEQ_02","將<hex:02280DFF07>ItemMP<hex:F2AB7D0103>交給了休涅。眾陽之民自古崇尚與自然共生，如今在城市中生活的人變多，維持與自然的連繫也變得重要起來。為了不被瓦泡塔嘮叨，休涅委託冒險者幫忙給瓦泡塔送貨。"
3,"TEXT_KINGLA404_04992_SEQ_03",""
4,"TEXT_KINGLA404_04992_SEQ_04",""
5,"TEXT_KINGLA404_04992_SEQ_05",""
6,"TEXT_KINGLA404_04992_SEQ_06",""
7,"TEXT_KINGLA404_04992_SEQ_07",""
8,"TEXT_KINGLA404_04992_SEQ_08",""
9,"TEXT_KINGLA404_04992_SEQ_09",""
10,"TEXT_KINGLA404_04992_SEQ_10",""
11,"TEXT_KINGLA404_04992_SEQ_11",""
12,"TEXT_KINGLA404_04992_SEQ_12",""
13,"TEXT_KINGLA404_04992_SEQ_13",""
14,"TEXT_KINGLA404_04992_SEQ_14",""
15,"TEXT_KINGLA404_04992_SEQ_15",""
16,"TEXT_KINGLA404_04992_SEQ_16",""
17,"TEXT_KINGLA404_04992_SEQ_17",""
18,"TEXT_KINGLA404_04992_SEQ_18",""
19,"TEXT_KINGLA404_04992_SEQ_19",""
20,"TEXT_KINGLA404_04992_SEQ_20",""
21,"TEXT_KINGLA404_04992_SEQ_21",""
22,"TEXT_KINGLA404_04992_SEQ_22",""
23,"TEXT_KINGLA404_04992_SEQ_23",""
24,"TEXT_KINGLA404_04992_TODO_00","<hex:0208F0E3E4E94511FF48>將在灰達尤南台地附近採集的<hex:02100103><hex:02280DFF07>ItemMP<hex:F2AB7D0103>交給休涅<hex:FF95><hex:020891E4E94512FF48>將在胡薩塔伊驛鎮附近採集的<hex:02100103><hex:02280DFF07>ItemMP<hex:F2AB7D0103>交給休涅<hex:FF42>轉職為採掘師或園藝師<hex:02100103>將<hex:02280DFF07>ItemMP<hex:F2AB7D0103>交給休涅<hex:03><hex:03>"
25,"TEXT_KINGLA404_04992_TODO_01",""
26,"TEXT_KINGLA404_04992_TODO_02",""
27,"TEXT_KINGLA404_04992_TODO_03",""
28,"TEXT_KINGLA404_04992_TODO_04",""
29,"TEXT_KINGLA404_04992_TODO_05",""
30,"TEXT_KINGLA404_04992_TODO_06",""
31,"TEXT_KINGLA404_04992_TODO_07",""
32,"TEXT_KINGLA404_04992_TODO_08",""
33,"TEXT_KINGLA404_04992_TODO_09",""
34,"TEXT_KINGLA404_04992_TODO_10",""
35,"TEXT_KINGLA404_04992_TODO_11",""
36,"TEXT_KINGLA404_04992_TODO_12",""
37,"TEXT_KINGLA404_04992_TODO_13",""
38,"TEXT_KINGLA404_04992_TODO_14",""
39,"TEXT_KINGLA404_04992_TODO_15",""
40,"TEXT_KINGLA404_04992_TODO_16",""
41,"TEXT_KINGLA404_04992_TODO_17",""
42,"TEXT_KINGLA404_04992_TODO_18",""
43,"TEXT_KINGLA404_04992_TODO_19",""
44,"TEXT_KINGLA404_04992_TODO_20",""
45,"TEXT_KINGLA404_04992_TODO_21",""
46,"TEXT_KINGLA404_04992_TODO_22",""
47,"TEXT_KINGLA404_04992_TODO_23",""
48,"TEXT_KINGLA404_04992_SYSTEM_000_000","若要領取或繼續推進本任務，<hex:02100103>需完成「黃金遺產主線任務」中的「一路向北」。"
49,"TEXT_KINGLA404_04992_UVLO_000_005","如果故鄉有難，我會立刻趕回去。<hex:02100103>除此之外基本兩年才回鄉一次。"
50,"TEXT_KINGLA404_04992_UVLO_000_006","畢竟那邊交通不便，也沒有完備的傳送網。<hex:02100103>回鄉太頻繁，就無法好好投入精力了解情勢了……<hex:02100103>而且路費也是個大問題。"
51,"TEXT_KINGLA404_04992_SHUNYE_000_010","啊，歡迎。<hex:02100103>我很高興看到你來店裡逛逛。"
52,"TEXT_KINGLA404_04992_UVLO_000_011","你委託給我的工作都完成了。<hex:02100103>如果你要委託<hex:022903EB0203>工作，我也可以搭把手。"
53,"TEXT_KINGLA404_04992_SHUNYE_000_012","員工這麼厲害，作為老闆我的確深感欣慰……<hex:02100103>但你差不多也該休息一下了吧？<hex:02100103>你都不覺得累嗎？"
54,"TEXT_KINGLA404_04992_UVLO_000_013","哈哈，也許是跟著師父們鍛鍊過的緣故吧。<hex:02100103>長期四處旅行體力也至關重要，我為此沒少強身健體。"
55,"TEXT_KINGLA404_04992_SHUNYE_000_014","好吧，你都這麼說了……<hex:02100103>不過，要去旅行就要強身健體增強體力這句話，<hex:02100103>好像在哪聽過。"
56,"TEXT_KINGLA404_04992_UVLO_000_015","是嗎？<hex:02100103>你之前不是說自己不怎麼離開城市嗎？"
57,"TEXT_KINGLA404_04992_UAPYOTA_000_016","(-？？？？-)哎呀，居然有人先我一步。<hex:02100103>我是不是等下再來比較好？"
58,"TEXT_KINGLA404_04992_SHUNYE_000_017","瓦泡塔，歡迎。<hex:02100103>他們不是客人，都是我的店員。"
59,"TEXT_KINGLA404_04992_UAPYOTA_000_018","店員？你雇了新人？"
60,"TEXT_KINGLA404_04992_UAPYOTA_000_019","真是不敢相信！<hex:02100103>前頭那位籌備人員引退後，我還以為你就要關店了呢！"
61,"TEXT_KINGLA404_04992_UAPYOTA_000_020","休涅，自那之後過了多久了？<hex:02100103>你打算在城裡躲到什麼時候？"
62,"TEXT_KINGLA404_04992_SHUNYE_000_021","……你想買什麼嗎？<hex:02100103>你是有想買的東西才來這邊的吧？"
63,"TEXT_KINGLA404_04992_UAPYOTA_000_022","唉，你啊……"
64,"TEXT_KINGLA404_04992_UAPYOTA_000_023","好吧，我想要之前常買的那個淨化屋舍的東西，<hex:02100103>不過看起來沒貨了啊，你補貨後直接送來我家吧。"
65,"TEXT_KINGLA404_04992_SHUNYE_000_024","剛剛的那個人名叫瓦泡塔……是我同父異母的姐姐。"
66,"TEXT_KINGLA404_04992_SHUNYE_000_025","我想這對你們維艾拉族來說也不是什麼稀奇事。"
67,"TEXT_KINGLA404_04992_SHUNYE_000_026","無論是眾陽之民還是維艾拉族，<hex:02100103>這種情況都並不算稀奇。"
68,"TEXT_KINGLA404_04992_SHUNYE_000_027","我們只有成長到一定年齡才能知道自己的性別，<hex:02100103>其中大半會變成女性，男性的數量少之又少。"
