key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_REGYOK6AGAVEJAWS_00904_SOVLI_000_000","歡迎來到龍舌蘭牙床。<hex:02100103>你有什麼想問的嗎？"
1,"TEXT_REGYOK6AGAVEJAWS_00904_SOVLI_000_001","艷翼蛇鳥出現的傳聞我已經聽說了。<hex:02100103>明明烏克·拉瑪特大人才剛把魔物趕走……<hex:02100103>真是讓人不得安寧啊。"
2,"TEXT_REGYOK6AGAVEJAWS_00904_SOVLI_000_002","結果艷翼蛇鳥並沒有襲擊過來。<hex:02100103>終於可以安心種植龍舌蘭了。"
3,"TEXT_REGYOK6AGAVEJAWS_00904_SOVLI_000_003","就算是為了新任國王，我也要努力培育出上等的龍舌蘭才行。<hex:02100103>如今一堆事情纏身，都沒什麼空閒時間，<hex:02100103>有時也需來點梅斯卡酒讓自己大醉一場。"
4,"TEXT_REGYOK6AGAVEJAWS_00904_Q1_000_000","想了解什麼？"
5,"TEXT_REGYOK6AGAVEJAWS_00904_A1_000_001","你是做什麼的？"
6,"TEXT_REGYOK6AGAVEJAWS_00904_A1_000_002","這裡是什麼地方？"
7,"TEXT_REGYOK6AGAVEJAWS_00904_A1_000_003","取消"
8,"TEXT_REGYOK6AGAVEJAWS_00904_SOVLI_000_010","我負責管理在農園種植的龍舌蘭。<hex:02100103>平日裡就是觀察土地和天氣情況，<hex:02100103>考慮生產數和蒸餾使用頻率等。"
9,"TEXT_REGYOK6AGAVEJAWS_00904_SOVLI_000_011","所以能有你這樣對龍舌蘭感興趣的人和我搭話，<hex:02100103>我真的很開心！<hex:02100103>這樣的聊天對我來說也算是一種休息。"
10,"TEXT_REGYOK6AGAVEJAWS_00904_SOVLI_000_020","這裡是栽培龍舌蘭的農園。<hex:02100103>在這裡透過對採集到的龍舌蘭樹液進行蒸餾，<hex:02100103>便可以製作出名為梅斯卡的酒。"
11,"TEXT_REGYOK6AGAVEJAWS_00904_SOVLI_000_021","等間距種植的龍舌蘭的刺，<hex:02100103>看起來就像野獸的牙床一樣排列得整整齊齊不是嗎？<hex:02100103>所以才給這個地方起了「龍舌蘭牙床」這個名字。"
